Org_Identifier,Org_FormalName,Project_Identifier,Location_Identifier,Location_Name,Location_Type,Location_State,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLand,Location_Latitude,Location_Longitude,Activity_ActivityIdentifier,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,ActivityBiological_AssemblageSampled,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,SampleCollectionMethod_Name,Result_ResultDetectionCondition,Result_Characteristic,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_Taxon,ResultDepthHeight_MeasureValue,ResultDepthHeight_MeasureUnit,Result_MeasureIdentifier,Result_MeasureValue,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_MeasureValueType,DataQuality_ResultCommentText,DetectionLimit_TypeA,DetectionLimit_MeasureValueA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentTextA,DetectionLimit_TypeB,DetectionLimit_MeasureValueB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentTextB,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_Url,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,Result_DetectionLimitProfileDownload,Result_LabSamplePrepProfileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,2fc4cc60-7145-46b9-9e31-444b330c33f4,"Sample - Routine, regular",Water,Surface water,,2021-03-23,11:30:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,1e28de9a-d6fd-4f53-a80a-6bd5ddc64ca6,22,mg/L,,Accepted,,Actual,,,,,,,,,,PLO05,USDOI/USGS,"Elements, water, ICP-OES (TMCO)",,,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,0163aa6d-b206-4711-829c-2475321cc6f5,"Sample - Routine, regular",Water,Surface water,,2022-02-24,18:00:00,MST,,,Grab/dip,,Magnesium,,Filtered field and/or lab,,,,,2617156b-f8be-4567-b8af-da97af41a69b,22,mg/L,,Accepted,,Actual,,,,,,,,,,PLO05,USDOI/USGS,"Elements, water, ICP-OES (TMCO)",,,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['USGS', '00003FL00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,b478aa80-c821-41e5-bd02-d6c4cef34135,"Sample - Routine, regular",Water,Surface water,,2018-08-22,13:00:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,494878cf-22d8-43d2-bd2e-33768fad8550,20.2,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2018-09-19,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a5c2f07b-9f11-4197-bd21-242c8479661f,"Sample - Routine, regular",Water,Surface water,,2021-08-25,08:15:00,MST,,,Grab/dip,,Magnesium,,Filtered field and/or lab,,,,,56c986e0-4684-4994-a7a0-4bc759a191b1,20.0,mg/L,,Accepted,,Actual,,,,,,,,,,PLO05,USDOI/USGS,"Elements, water, ICP-OES (TMCO)",,,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['USGS', '00003FL00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,2e3d7b1f-58d8-41c1-9b94-bb1515a915d4,"Sample - Routine, regular",Water,Surface water,,2019-04-29,16:30:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,645e3909-deb3-48d1-b575-2372afdd62c4,22.9,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2019-05-21,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,bf54040b-8d57-4d47-a433-d1666c7a0478,"Sample - Routine, regular",Water,Surface water,,2021-11-12,14:37:00,MST,,,Grab/dip,,Magnesium,,Filtered field and/or lab,,,,,9d6ecf71-2b32-4406-9507-bd7c5fa63f77,22.0,mg/L,,Accepted,,Actual,,,,,,,,,,PLO05,USDOI/USGS,"Elements, water, ICP-OES (TMCO)",,,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a50f753c-6957-4009-b7b9-5d6fbc24e812,"Sample - Routine, regular",Water,Surface water,,2021-03-19,15:40:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,c1ba32cb-f5b2-4778-a4fd-64255bebe682,23.0,mg/L,,Accepted,,Actual,,,,,,,,,,PLO05,USDOI/USGS,"Elements, water, ICP-OES (TMCO)",,,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,3fb4fbb8-9491-436b-aeb0-f127695c4d08,"Sample - Routine, regular",Water,Surface water,,2020-08-19,15:30:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,eb0c06b0-64ac-4ba4-83f4-e6fe87a3118f,20.0,mg/L,,Accepted,,Actual,,,,,,,,,,PLO05,USDOI/USGS,"Elements, water, ICP-OES (TMCO)",,,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
