Org_Identifier,Org_FormalName,Project_Identifier,Location_Identifier,Location_Name,Location_Type,Location_State,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLand,Location_Latitude,Location_Longitude,Activity_ActivityIdentifier,Activity_TypeCode,Activity_Media,Activity_MediaSubdivisionName,ActivityBiological_AssemblageSampled,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,SampleCollectionMethod_Name,Result_ResultDetectionCondition,Result_Characteristic,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_Taxon,ResultDepthHeight_MeasureValue,ResultDepthHeight_MeasureUnit,Result_MeasureIdentifier,Result_MeasureValue,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_MeasureValueType,DataQuality_ResultCommentText,DetectionLimit_TypeA,DetectionLimit_MeasureValueA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentTextA,DetectionLimit_TypeB,DetectionLimit_MeasureValueB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentTextB,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_Url,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,Result_DetectionLimitProfileDownload,Result_LabSamplePrepProfileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,9f4b315f-5e0e-4f7e-9be6-11b7eeef600d,"Sample - Routine, regular",Water,Surface water,,1990-11-06,00:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,0004fa41-5c33-4eae-b279-f9222a8661e1,4.7,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,7860d324-161d-4cfa-8f79-d216abb1efcb,"Sample - Routine, regular",Water,Surface water,,2023-04-25,11:45:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,0655988c-d800-4b2a-aa51-2b998225ee5a,4.80,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,18d39d32-7bcd-4999-a096-d56ff7c339de,"Sample - Routine, regular",Water,Surface water,,1990-11-06,06:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,084de7ab-adb7-4aae-8036-3ae50557b13b,4.6,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,['USGS'],USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,c78cc63f-e304-435a-96ac-00cf4a34aae4,"Sample - Routine, regular",Water,Surface water,,1990-11-05,12:00:00,MST,,,,,Uranium,,Filtered field and/or lab,,,,,09697ab3-212d-4329-ade5-5a12ca7ed5de,4.5,ug/L,,Provisional,,Actual,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,9e7b2009-5c7a-4d86-9fbd-957524da4814,"Sample - Routine, regular",Water,Surface water,,2023-04-28,10:20:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,28be654e-1fbc-47df-977f-4cd8b32183f0,4.50,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,0163aa6d-b206-4711-829c-2475321cc6f5,"Sample - Routine, regular",Water,Surface water,,2022-02-24,18:00:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,2d7ecc43-1080-42ef-9715-04003ee2fc65,3.70,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', '00003FL00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,b478aa80-c821-41e5-bd02-d6c4cef34135,"Sample - Routine, regular",Water,Surface water,,2018-08-22,13:00:00,MST,,,EDI,,Uranium,,Filtered field and/or lab,,,,,3008f198-af4a-458d-981e-443d6bc98352,2.47,ug/L,,Accepted,,Actual,,,,,,Detection limit by blank data,0.03,ug/L,Quantitation limit value of the specified type,PLM43,USDOI/USGS,"Metals, wf, ICP-MS",,2018-09-06,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,bf54040b-8d57-4d47-a433-d1666c7a0478,"Sample - Routine, regular",Water,Surface water,,2021-11-12,14:37:00,MST,,,Grab/dip,,Uranium,,Filtered field and/or lab,,,,,3213e98f-1e08-4e71-8cc2-794861771f3e,3.200,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', '00003FL00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,38c87ae5-5de4-4cb7-b530-d21a8e3b8d58,"Sample - Routine, regular",Water,Surface water,,2017-02-22,10:40:00,MST,,,EDI,,Uranium,,Filtered field and/or lab,,,,,3bfe7215-6bfc-4640-945f-7a3304171a39,3.42,ug/L,,Accepted,,Actual,,,,,,Detection limit by blank data,0.01,ug/L,Quantitation limit value of the specified type,PLM43,USDOI/USGS,"Metals, wf, ICP-MS",,2017-04-15,,,,,USGS,,Radiochemical,,2024-03-25,22703
USGS,U.S. Geological Survey,"['USGS', '00003FL00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,822e4aa9-3663-488d-bed5-da11f3aa9717,"Sample - Routine, regular",Water,Surface water,,2016-08-24,09:30:00,MST,,,EDI,,Uranium,,Filtered field and/or lab,,,,,55729366-9e9a-4b33-bc19-6331d98859d7,3.50,ug/L,,Accepted,,Actual,,,,,,Detection limit by blank data,0.01,ug/L,Quantitation limit value of the specified type,PLM43,USDOI/USGS,"Metals, wf, ICP-MS",,2016-11-09,,,,,USGS,,Radiochemical,,2024-03-25,22703
