Org_Identifier,Org_FormalName,Project_Identifier,Location_Identifier,Location_Name,Location_Type,Location_State,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLand,Location_Latitude,Location_Longitude,Activity_ActivityIdentifier,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,ActivityBiological_AssemblageSampled,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,SampleCollectionMethod_Name,Result_ResultDetectionCondition,Result_Characteristic,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_Taxon,ResultDepthHeight_MeasureValue,ResultDepthHeight_MeasureUnit,Result_MeasureIdentifier,Result_MeasureValue,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_MeasureValueType,DataQuality_ResultCommentText,DetectionLimit_TypeA,DetectionLimit_MeasureValueA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentTextA,DetectionLimit_TypeB,DetectionLimit_MeasureValueB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentTextB,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_Url,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,Result_DetectionLimitProfileDownload,Result_LabSamplePrepProfileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,c204b8f1-cafa-4cfa-96ac-6972b7494273,"Sample - Routine, regular",Water,Surface water,,2023-02-22,19:44:00,MST,,,Grab/dip,,Boron,,Filtered field and/or lab,,,,,180abb57-c176-4405-a00a-cb9f6765647d,117.0,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Non-metals",,2024-03-25,01020
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,2fc4cc60-7145-46b9-9e31-444b330c33f4,"Sample - Routine, regular",Water,Surface water,,2021-03-23,11:30:00,MST,,,EDI,,Boron,,Filtered field and/or lab,,,,,2cd0aa49-30bd-4abb-9e18-a2247c5a40ab,94,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Non-metals",,2024-03-25,01020
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a31fc723-b28e-42df-92d9-5414c188ed8a,"Sample - Routine, regular",Water,Surface water,,2023-02-22,19:55:00,MST,,,Grab/dip,,Boron,,Filtered field and/or lab,,,,,37c4e2bd-e78b-4049-ba8f-c65e2319d6a5,116.0,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Non-metals",,2024-03-25,01020
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a5c2f07b-9f11-4197-bd21-242c8479661f,"Sample - Routine, regular",Water,Surface water,,2021-08-25,08:15:00,MST,,,Grab/dip,,Boron,,Filtered field and/or lab,,,,,3cc32942-4f1c-4db8-beba-43901480263c,81,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Non-metals",,2024-03-25,01020
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a50f753c-6957-4009-b7b9-5d6fbc24e812,"Sample - Routine, regular",Water,Surface water,,2021-03-19,15:40:00,MST,,,EDI,,Boron,,Filtered field and/or lab,,,,,3fe6fdff-6391-476a-90c9-78b402a62f2f,117,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Non-metals",,2024-03-25,01020
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,0163aa6d-b206-4711-829c-2475321cc6f5,"Sample - Routine, regular",Water,Surface water,,2022-02-24,18:00:00,MST,,,Grab/dip,,Boron,,Filtered field and/or lab,,,,,76112017-2852-4c93-bca1-d13f44670208,110,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Non-metals",,2024-03-25,01020
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,33a27022-405f-432b-bc15-aaeb5cd40a31,"Sample - Routine, regular",Water,Surface water,,2022-11-17,12:15:00,MST,,,Grab/dip,,Boron,,Filtered field and/or lab,,,,,88cc1586-2722-4f18-9852-13f152f9828f,141.0,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Non-metals",,2024-03-25,01020
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,3fb4fbb8-9491-436b-aeb0-f127695c4d08,"Sample - Routine, regular",Water,Surface water,,2020-08-19,15:30:00,MST,,,EDI,,Boron,,Filtered field and/or lab,,,,,90e61ac1-d94d-4250-9def-5d93306508bc,68.0,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Non-metals",,2024-03-25,01020
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,bf54040b-8d57-4d47-a433-d1666c7a0478,"Sample - Routine, regular",Water,Surface water,,2021-11-12,14:37:00,MST,,,Grab/dip,,Boron,,Filtered field and/or lab,,,,,e7c01986-fb8b-434a-9ce2-cdde6c421c0f,103.0,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Non-metals",,2024-03-25,01020
