Org_Identifier,Org_FormalName,Project_Identifier,Location_Identifier,Location_Name,Location_Type,Location_State,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLand,Location_Latitude,Location_Longitude,Activity_ActivityIdentifier,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,ActivityBiological_AssemblageSampled,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,SampleCollectionMethod_Name,Result_ResultDetectionCondition,Result_Characteristic,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_Taxon,ResultDepthHeight_MeasureValue,ResultDepthHeight_MeasureUnit,Result_MeasureIdentifier,Result_MeasureValue,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_MeasureValueType,DataQuality_ResultCommentText,DetectionLimit_TypeA,DetectionLimit_MeasureValueA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentTextA,DetectionLimit_TypeB,DetectionLimit_MeasureValueB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentTextB,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_Url,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,Result_DetectionLimitProfileDownload,Result_LabSamplePrepProfileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', 'ZF00GUMQW']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,2a8942b3-8859-4869-9e26-de294fe26f81,"Sample - Routine, regular",Water,Surface water,,2020-12-17,11:30:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,ba7da21b-2072-4557-b2de-e6e60b3d679b,19.8,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.01,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2021-01-27,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '00GUMQW00']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,7bd36bcd-f911-4e4f-8bdc-16421d349d89,"Sample - Routine, regular",Water,Surface water,,2019-04-09,11:45:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,bb640810-8121-4554-b1de-5de30936f70a,23.3,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2019-05-07,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '00GUMQW00']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,bc975386-2ec6-4659-b39a-e9e4d6571b2a,"Sample - Routine, with an associated replicate",Water,Surface water,,2019-02-12,11:30:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,c001d46a-63f7-466d-a10d-1d1571c62c93,20.8,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2019-02-27,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['USGS', '00GYKGS00']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,f96aaa12-0a13-4e34-9719-1da85c6fb144,"Sample - Routine, regular",Water,Surface water,,2018-07-09,12:30:00,MST,,,,,Magnesium,,Filtered field and/or lab,,,,,c1fcfad5-9292-4fcb-b3cc-a7a1738251e8,20.0,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2018-08-20,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', 'ZF00GUMQW']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,edd06fc5-5ef7-4d93-8f68-1766d56ab0ad,"Sample - Routine, regular",Water,Surface water,,2021-04-26,12:00:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,c527491c-6725-4389-b130-2a09090f5ec4,19.7,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.01,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2021-06-03,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '00GCB0000']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,5db09a63-5e5c-409f-a293-438047c3379e,"Sample - Routine, with an associated replicate",Water,Surface water,,2020-05-19,11:15:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,c80d4c14-bc8d-4171-8d66-95f6fc692318,19.7,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.01,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2020-06-04,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', 'ZF00GUMQW']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,b9f67a5b-60f3-4ea7-8180-7205c145e1c7,"Sample - Routine, regular",Water,Surface water,,2020-10-07,12:00:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,c868a3ef-ec29-48d5-8adb-50174bf726e3,19.3,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.01,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2020-10-21,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '00GUMQW00']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,75f19694-9f96-4a67-b6af-79b66fbfffa5,"Sample - Routine, regular",Water,Surface water,,2020-01-21,13:00:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,caadc923-fa0e-48f9-8cee-38a2c23af556,18.0,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.01,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2020-02-04,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', 'ZF00GUMQW']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,11e3ad05-c2c0-410d-95bf-9ca79b7cdb4f,"Sample - Routine, regular",Water,Surface water,,2022-05-16,13:00:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,cf861f3d-9988-4d71-b168-908f52a971d5,25.7,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.01,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2022-05-27,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '00GUMQW00']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,48b539c3-86d2-4eda-b06c-874cf4386339,"Sample - Routine, regular",Water,Surface water,,2019-03-12,11:15:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,d17127a1-2f96-4d83-9136-4471dcd9fbf2,22.0,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2019-04-06,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '00GUMQW00']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,29f8c0e3-abac-4b1d-8f81-a1a38390e0f9,"Sample - Routine, regular",Water,Surface water,,2019-05-28,12:15:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,da814ed7-3f10-4168-a70d-b7b48f346b4d,21.5,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2019-06-14,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '00GUMQW00']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,c7943da2-bcd0-49c4-b39d-00c1fa9e25cb,"Sample - Routine, regular",Water,Surface water,,2018-07-24,11:15:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,e0b33ab6-ddca-45d4-a466-820b6ae2a38c,20.0,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2018-08-27,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', 'ZF00GUMQW']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,997ce391-1ca2-43c1-af32-ae382df7c2cc,"Sample - Routine, regular",Water,Surface water,,2021-06-22,12:00:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,e1b97ef9-c688-48d4-b54b-0f6a4397c8e4,21.3,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.01,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2021-07-19,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '00GCB0000']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,686bddf5-9c30-40e8-8a1a-96539ea30eaf,"Sample - Routine, regular",Water,Surface water,,2020-03-25,11:40:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,e777b2fc-ecae-4831-a2a7-337267c0b774,21.7,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.01,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2020-04-06,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '00GUMQW00']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,87d871b7-b10f-42b6-8cd4-be6fceb0dd34,"Sample - Routine, regular",Water,Surface water,,2019-06-24,11:30:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,e849d310-17ec-41d3-880c-011ce71d76fe,21.6,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2019-07-26,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', 'ZF00GUMQW']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,45f8f50d-2951-44d6-9713-d64a023d8b06,"Sample - Routine, regular",Water,Surface water,,2021-02-10,13:00:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,eb7626f7-feec-478c-9ba3-6a7275cf0b19,21.3,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.01,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2021-03-02,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '00GUMQW00']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,90d6884e-8393-4ad1-a786-2a8691869a65,"Sample - Routine, regular",Water,Surface water,,2018-10-02,12:30:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,edced8d5-4bdb-401e-b291-c56f2a4b42bd,19.9,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2018-10-20,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '00GUMQW00']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,dfa61a9b-55bb-49ec-b456-990d384aca76,"Sample - Routine, regular",Water,Surface water,,2019-08-12,12:00:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,f91770c4-47c5-458b-8489-0bccf2fb72c6,21.4,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2019-09-20,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
USGS,U.S. Geological Survey,"['NAWQA - National Water-Quality Assessment', '32GUMQN00']",USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,Arizona,14070006,140700061105,,36.8643333333333,-111.587872222222,d6fb79b9-039f-49ba-aff7-8b14665834b3,"Sample - Routine, regular",Water,Surface water,,2018-08-27,15:45:00,MST,,,EDI,,Magnesium,,Filtered field and/or lab,,,,,fec10d2c-8c14-4393-ad61-898a11f964a7,20.1,mg/L,,Accepted,,Actual,,,,,,Detection limit by DQCALC,0.011,mg/L,Quantitation limit value of the specified type,PLA11,USDOI/USGS,"Metals, wf, ICP-AES (NWQL)",,2018-09-21,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925
