Org_Identifier,Org_FormalName,Project_Identifier,Location_Identifier,Location_Name,Location_Type,Location_State,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLand,Location_Latitude,Location_Longitude,Activity_ActivityIdentifier,Activity_TypeCode,Activity_Media,Activity_MediaSubdivisionName,ActivityBiological_AssemblageSampled,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,SampleCollectionMethod_Name,Result_ResultDetectionCondition,Result_Characteristic,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_Taxon,ResultDepthHeight_MeasureValue,ResultDepthHeight_MeasureUnit,Result_MeasureIdentifier,Result_MeasureValue,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_MeasureValueType,DataQuality_ResultCommentText,DetectionLimit_TypeA,DetectionLimit_MeasureValueA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentTextA,DetectionLimit_TypeB,DetectionLimit_MeasureValueB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentTextB,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_Url,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,Result_DetectionLimitProfileDownload,Result_LabSamplePrepProfileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,2fc4cc60-7145-46b9-9e31-444b330c33f4,"Sample - Routine, regular",Water,Surface water,,2021-03-23,11:30:00,MST,,,EDI,,Chromium,,Filtered field and/or lab,,,,,094de551-b719-4d43-b758-83defebcc7a1,0.400,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Metals",,2024-03-25,01030
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a5c2f07b-9f11-4197-bd21-242c8479661f,"Sample - Routine, regular",Water,Surface water,,2021-08-25,08:15:00,MST,,,Grab/dip,,Chromium,,Filtered field and/or lab,,,,,28d5444a-a457-4e50-8d2e-d7d897de2451,0.30,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Metals",,2024-03-25,01030
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,bf54040b-8d57-4d47-a433-d1666c7a0478,"Sample - Routine, regular",Water,Surface water,,2021-11-12,14:37:00,MST,,,Grab/dip,,Chromium,,Filtered field and/or lab,,,,,4b8dcae6-09a6-4b99-992d-b11c420866aa,0.40,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Metals",,2024-03-25,01030
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,0163aa6d-b206-4711-829c-2475321cc6f5,"Sample - Routine, regular",Water,Surface water,,2022-02-24,18:00:00,MST,,,Grab/dip,,Chromium,,Filtered field and/or lab,,,,,b22070d5-656b-47de-b17f-a6544e6b936a,0.60,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Metals",,2024-03-25,01030
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,33a27022-405f-432b-bc15-aaeb5cd40a31,"Sample - Routine, regular",Water,Surface water,,2022-11-17,12:15:00,MST,,,Grab/dip,,Chromium,,Filtered field and/or lab,,,,,b29d74f2-e16c-440a-8038-05169e9d28d2,2.10,ug/L,,Provisional,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Metals",,2024-03-25,01030
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,a50f753c-6957-4009-b7b9-5d6fbc24e812,"Sample - Routine, regular",Water,Surface water,,2021-03-19,15:40:00,MST,,,EDI,,Chromium,,Filtered field and/or lab,,,,,e902c474-d4db-4ba9-98f4-759e105bded2,0.30,ug/L,,Accepted,,Actual,,,,,,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Metals",,2024-03-25,01030
USGS,U.S. Geological Survey,"['USGS', 'ZF00GCB00']",USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,Arizona,15010001,150100010609,,36.1013717601685,-112.086279488639,3fb4fbb8-9491-436b-aeb0-f127695c4d08,"Sample - Routine, regular",Water,Surface water,,2020-08-19,15:30:00,MST,,,EDI,Not Detected,Chromium,,Filtered field and/or lab,,,,,e9376b2d-c3ce-4f58-9722-0832153d0249,,,,Accepted,,Actual,,Censoring Level,0.10,ug/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,,,,,PLM72,USDOI/USGS,"Trace metals, w, ICP/MS (TMCO)",,,,,,,USGS,,"Inorganics, Minor, Metals",,2024-03-25,01030
